ID,Title,Content,Permalink,Categories,Tags,"Resource Author","Organizational Author","Attributed Date",Link,"Alignment: JTF","Alignment: Regenerative Economies","Alignment: Democratic Systems","BIPOC Author","Added By",Notes,"Attributed Date (v2)",Status
1762,"Youth Fellowship Program","The Immigrant Alliance for Justice and Equity hosts seasonal fellowships for Black and Brown youth. Fellows engage with speakers, go on field trips, and complete projects that cultivate solidarity between participants. Fellows are paid a stipend upon completion of the program.",https://thechisholmlegacyproject.org/resource-detail/youth-fellowship-program/,Resources>Fellowship,Coaching,,"Immigrant Alliance for Justice and Equity",2/22/2022,https://www.iajems.org/upcoming-events,Yes,,,Yes,Cara,,,publish
1763,"We Got We, Not BP","Another Gulf Is Possible live recorded podcast 5 episode series “We Got We, Not BP” was sparked by observing 10 years of ongoing impacts from the BP oil disaster. Featuring voices of Gulf South climate and environmental justice leaders reflecting in the midst a pandemic and an uprising.",https://thechisholmlegacyproject.org/resource-detail/we-got-we-not-bp/,Resources>Podcast,"Environmental Justice",,"Another Gulf is Possible",2/22/2022,https://anothergulf.com/wegotwepodcast/,Yes,Yes,,Yes,Cara,,,publish
1764,"Know Your Rights","Spanish language pamphlet outlining rights and civic protections, particularly with respect to police.  Know Your Rights/Conozca Sus Derechos es un folleto en español en el que se describen los derechos y las protecciones cívicas, en particular con respecto a la policía",https://thechisholmlegacyproject.org/resource-detail/know-your-rights/,Resources>Publication,"Community Safety",,"Immigrant Alliance for Justice and Equity",2/22/2022,https://www.iajems.org/immigrant-rights,,,,Yes,Cara,"Spanish Language Resource",,publish
1765,"WHIV Blog","Topics on this grassroots radio station's blog range from health as a human right to workers rights to reproductive justice and from Islam in the Crescent City to the Haitian community in New Orleans.&nbsp;There are also many local musicians that showcase a wide array of eclectic sounds.",https://thechisholmlegacyproject.org/resource-detail/whiv-blog/,Resources>Blog,"Economic Justice|Environmental Justice|Public Health",,"Human Rights + Social Justice Radio",2/22/2022,https://whivfm.org/blog,,,,,Cara,,,publish
1766,"WHIV Radio","102.3 FM WHIV-LP is a program of The New Orleans Society for Infectious Disease Awareness (NOSIDA), which was established in 2009 by local activist and infectious diseases physician Dr. Mark Alain Dery. NOSIDA's focus is to raise awareness about HIV and other infectious diseases through music. Topics on this grassroots radio station range from health as a human right to workers rights to reproductive justice and from Islam in the Crescent City to the Haitian community in New Orleans.&nbsp;There are also many local musicians that showcase a wide array of eclectic sounds.",https://thechisholmlegacyproject.org/resource-detail/whiv-radio/,Resources>Podcast,"Economic Justice|Environmental Justice|Public Health",,"Human Rights + Social Justice Radio",2/22/2022,https://whivfm.org/listen,Yes,Yes,Yes,Yes,Cara,,,publish
1767,"Another Gulf is Possible","Another Gulf Is Possible Collaborative is a women-of-color led,  grassroots collaborative of ten members from Brownsville, Texas to Pensacola, Florida. Another Gulf is Possible Collaborative is built upon decades of organizing resulting in a strong and rooted ecosystem of relationships between individuals tied to a multitude of organizations, networks, communities, and alliances from the US Gulf South to the Global South.",https://thechisholmlegacyproject.org/resource-detail/another-gulf-is-possible/,Resources>Organization,"Climate Adaptation &amp; Resilience",,"Another Gulf is Possible",,https://anothergulf.com/,Yes,Yes,Yes,Yes,Cara,,4/14/22,publish
1768,"CalEnviroScreen 4.0","CalEnviroScreen is a screening methodology that can be used to help identify California communities that are disproportionately burdened by multiple sources of pollution. The&nbsp;CalEnviroScreen 4.0 results&nbsp;are available as a mapping tool.&nbsp;Maps of the CalEnviroScreen 4.0 Indicators&nbsp;are also available.",https://thechisholmlegacyproject.org/resource-detail/calenviroscreen-4-0/,Resources>Data,"Environmental Justice",,"California Office of Environmental Health Hazard Assessment",2/22/2022,https://oehha.ca.gov/calenviroscreen/report/calenviroscreen-40,,,,,Cara,,,publish
1769,"State Energy and Environmental Impact Center","The State Energy & Environmental Impact Center at the NYU School of Law is an independent non-partisan academic center dedicated to the study and support of state attorneys general in their work defending and promoting clean energy, climate and environmental laws and policies.",https://thechisholmlegacyproject.org/resource-detail/state-energy-and-environmental-impact-center/,Resources>Organization,Legal,,"NYU School of Law",2/22/2022,https://www.law.nyu.edu/centers/state-impact/about,Yes,,Yes,,Cara,,,publish
1770,"Rapid Disaster Recovery Housing Program","Rapid Disaster Recovery Housing Program (Rapido) is a new balanced and wholesome approach that enables communities to recover from disasters within months instead of years. The Disaster Recovery Housing program offers instructions on developing and implementing a local disaster recovery housing plan. As illustrated in prior disasters, the strategy for rehousing residents post-disaster has often not been considered until the disaster has happened, meaning communities reinvent the recovery wheel with each disaster. Rapido helps the communities determine the scale, geography & culturally-appropriate approach. The program gives state and local jurisdictions the power and tools necessary to plan ahead for a successful disaster rehousing effort.",https://thechisholmlegacyproject.org/resource-detail/rapid-disaster-recovery-housing-program/,Resources>Publication,"Emergency Management",,"Texas A&M Hazard Reduction & Recovery Center",2/22/2022,https://www.arch.tamu.edu/app/uploads/2021/10/Rapido-Final.pdf,,,Yes,,Cara,,,publish
1771,"The Right to be Rescued","“The Right to be Rescued” is a short documentary that tells the stories of people with disabilities affected by Hurricane Katrina.",https://thechisholmlegacyproject.org/resource-detail/the-right-to-be-rescued/,Resources>Documentary,"Environmental Justice",,"Rooted in Rights",2/22/2022,https://rootedinrights.org/video/therighttoberescued/,,,,,Cara,,,publish
1772,"There’s no Climate Justice Without Racial Justice","Energy and electricity are universal necessities. And yet, they are not experienced in the same way by all communities. In South Florida, communities of color incur disproportionately higher electricity bills even when they qualify for low-income energy assistance.",https://thechisholmlegacyproject.org/resource-detail/theres-no-climate-justice-without-racial-justice/,Resources>Publication,"Environmental Justice","Elizabeth Mathis, Joanne Perodin","Orlando Sentinel",2/23/2022,https://www.orlandosentinel.com/opinion/guest-commentary/os-op-racial-justice-climate-justice-20210416-iwgp7aahofct3ox2nnd6tieaku-story.html,Yes,Yes,Yes,,Cara,,,publish
